demo_id,total_dist_sum,milk_dist,bread_dist,cereal_dist,can_dist
demo_1,0.3388,0.1153,0.0844,0.0296,0.1094
demo_2,0.4408,0.1439,0.0854,0.1077,0.1039
demo_3,0.3356,0.0881,0.0938,0.0769,0.0768
demo_4,0.2928,0.0761,0.0775,0.041,0.0982
