id,timestamp,success,failure_type,steps,duration,final_dist
1770838723_1440544_0,2026-02-11 14:39:42,False,random_policy,1000,58.59360337257385,0.6735203067603441
1770839021_0172842_0,2026-02-11 14:44:31,False,random_policy,1000,50.3193085193634,0.6596256213359624
1770839021_0172842_1,2026-02-11 14:45:22,False,random_policy,1000,50.453591108322144,0.5221696914456587
1770839021_0172842_2,2026-02-11 14:46:13,False,random_policy,1000,50.3192024230957,0.4432733818541061
1770839021_0172842_3,2026-02-11 14:47:04,False,random_policy,1000,50.372074604034424,0.5376765980086526
1770839021_0172842_4,2026-02-11 14:47:54,False,random_policy,1000,50.30426383018494,0.5403821545999968
1770839021_0172842_5,2026-02-11 14:48:45,False,random_policy,1000,50.37957572937012,0.5057998992321585
1770839021_0172842_6,2026-02-11 14:49:36,False,random_policy,1000,50.33886790275574,0.6658870759039212
1770839021_0172842_7,2026-02-11 14:50:27,False,random_policy,1000,50.3128662109375,0.5115606703349881
1770839021_0172842_8,2026-02-11 14:51:18,False,random_policy,1000,50.41936469078064,0.3979844598386381
1770839021_0172842_9,2026-02-11 14:52:08,False,random_policy,1000,50.34246778488159,0.48646926126133655
1770839021_0172842_10,2026-02-11 14:52:59,False,random_policy,1000,50.37452006340027,0.6804374197703723
1770839021_0172842_11,2026-02-11 14:53:50,False,random_policy,1000,50.35475564002991,0.4302100950151661
1770839021_0172842_12,2026-02-11 14:54:41,False,random_policy,1000,50.319785594940186,0.6101476876040035
1770839021_0172842_13,2026-02-11 14:55:32,False,random_policy,1000,50.34006953239441,0.5640067080040816
1770839021_0172842_14,2026-02-11 14:56:23,False,random_policy,1000,50.328407526016235,0.4990456602670394
1770839021_0172842_15,2026-02-11 14:57:14,False,random_policy,1000,50.29291248321533,0.3929174258613204
1770839021_0172842_16,2026-02-11 14:58:05,False,random_policy,1000,50.5266969203949,0.5024104530446101
1770839021_0172842_17,2026-02-11 14:58:56,False,random_policy,1000,50.36245679855347,0.6307750559520727
1770839021_0172842_18,2026-02-11 14:59:47,False,random_policy,1000,50.45727729797363,0.48468073344788476
1770839021_0172842_19,2026-02-11 15:00:38,False,random_policy,1000,50.33023285865784,0.6147114476450874
1770839021_0172842_20,2026-02-11 15:01:28,False,random_policy,1000,50.3498215675354,0.5147633985590375
1770839021_0172842_21,2026-02-11 15:02:19,False,random_policy,1000,50.299394845962524,0.654883617193431
1770839021_0172842_22,2026-02-11 15:03:10,False,random_policy,1000,50.39291977882385,0.3699208886718678
1770839021_0172842_23,2026-02-11 15:04:01,False,random_policy,1000,50.28955054283142,0.5442102516471522
1770839021_0172842_24,2026-02-11 15:04:52,False,random_policy,1000,50.367993116378784,0.5695917111782777
1770839021_0172842_25,2026-02-11 15:05:43,False,random_policy,1000,50.27141880989075,0.6409623834921315
1770839021_0172842_26,2026-02-11 15:06:34,False,random_policy,1000,50.378074407577515,0.46346854936539034
1770839021_0172842_27,2026-02-11 15:07:25,False,random_policy,1000,50.27265739440918,0.5623858967280536
1770839021_0172842_28,2026-02-11 15:08:16,False,random_policy,1000,50.26344037055969,0.45559471431535525
1770839021_0172842_29,2026-02-11 15:09:07,False,random_policy,1000,50.306964635849,0.48169335053758894
